"","X","eventid","iyear","imonth","iday","extended","country","region","latitude","longitude","specificity","vicinity","crit1","crit2","crit3","doubtterr","multiple","success","suicide","attacktype1","targtype1","targsubtype1","natlty1","guncertain1","individual","weaptype1","weapsubtype1","nkill","Cluster"
"2759",32997,199001180009,1990,1,18,0,157,12,-6.158373,155.382212,3,1,1,1,1,-9,0,0,0,1,1,4,14,0,0,5,3,0,2
"2760",9015,198006200014,1980,6,20,0,185,8,43.309635,-3.00694,1,0,1,1,1,0,0,0,0,1,1,5,185,0,0,5,3,0,8
"2761",38948,199110210007,1991,10,21,0,61,2,13.24111,-87.96,1,0,1,1,0,1,0,1,0,2,4,29,61,0,0,5,2,0,2
"2762",131350,201606280020,2016,6,28,0,92,6,34.007139,74.781429,1,0,1,1,1,0,0,1,0,7,22,109,92,0,0,5,3,0,8
"2763",46610,199501130005,1995,1,13,0,45,3,3.529869,-75.645504,1,0,1,1,1,0,0,1,0,9,3,25,45,0,0,13,23,0,8
"2764",71702,200811240008,2008,11,24,1,153,6,35.202293,71.873006,2,0,1,1,1,0,0,1,0,6,2,18,153,0,0,5,5,0,3
"2765",115464,201502120032,2015,2,12,0,153,6,29.033274,69.149955,3,0,1,1,1,0,0,0,0,3,20,107,153,0,0,6,16,0,3
"2766",61136,200404150001,2004,4,15,0,153,6,30.200819,66.994354,1,0,1,1,1,0,0,1,1,2,3,23,153,0,0,5,2,11,1
"2767",40178,199202180010,1992,2,18,0,101,4,35.689125,139.747742,1,0,1,1,1,0,1,1,0,3,2,18,101,0,0,6,16,0,6
"2768",62430,200505070009,2005,5,7,0,228,10,15.325443,44.211895,1,0,1,1,0,1,0,1,0,3,4,28,228,0,0,6,7,0,1
"2769",27905,198806260006,1988,6,26,0,183,11,-32.985771,27.866086,1,0,1,1,1,0,0,0,0,3,1,2,183,0,0,6,8,0,4
"2770",969,197203160001,1972,3,16,0,603,8,54.463367,-6.328597,1,0,1,1,1,0,0,1,0,3,14,69,233,0,0,6,16,1,1
"2771",26019,198710290002,1987,10,29,0,69,8,42.6042,8.929852,1,0,1,1,1,0,1,1,0,3,14,76,21,0,0,6,16,0,4
"2772",137659,201702140032,2017,2,14,0,92,6,19.281255,73.048291,1,0,1,1,1,0,0,1,0,1,2,15,92,0,0,5,5,1,3
"2773",39975,199201280010,1992,1,28,0,145,2,13.333325,-85.372013,1,0,1,1,0,1,0,1,0,2,4,27,145,0,0,5,2,0,6
"2774",27725,198806050001,1988,6,5,0,26,3,-16.509317,-68.10434,1,0,1,1,1,0,0,0,0,3,7,46,362,0,0,6,16,0,8
"2775",75930,201001090002,2010,1,9,0,78,8,37.99749,23.762728,1,0,1,1,1,0,0,1,0,3,2,21,78,0,0,6,16,0,6
