"","iyear","imonth","iday","extended","country","region","latitude","longitude","specificity","vicinity","crit1","crit2","crit3","doubtterr","multiple","success","suicide","attacktype1","targtype1","targsubtype1","natlty1","guncertain1","individual","weaptype1","weapsubtype1","nkill","nwound","property","Cluster"
"5509",1988,4,10,0,45,3,7.99221,-76.63719,1,0,1,1,1,-9,0,1,0,1,14,67,45,0,0,13,23,1,0,0,3
"5510",2016,1,5,0,228,10,12.825647,44.846416,1,0,1,1,1,0,0,0,1,1,2,15,228,0,0,6,15,2,8,1,6
"5511",1984,2,2,0,45,3,5.85936,-73.96559,3,0,1,1,1,0,0,1,0,9,14,79,45,0,0,13,22,0,0,1,8
"5512",2009,6,16,0,153,6,30.200819,66.994354,1,0,1,1,1,0,0,1,0,3,1,7,153,0,0,6,16,0,4,1,6
"5513",2017,4,7,0,205,5,6.382026,101.805247,1,0,1,1,1,0,1,1,0,3,21,107,205,0,0,6,16,0,0,1,5
"5514",2010,11,18,0,95,10,33.74324,44.623825,1,0,1,1,1,0,0,1,0,3,17,94,95,0,0,6,17,1,0,1,5
"5515",1992,5,22,0,45,3,8.248571,-73.581628,1,0,1,1,1,0,0,0,0,3,21,108,45,0,0,6,16,0,0,1,7
"5516",2017,11,8,0,200,10,35.951523,39.009563,1,1,1,1,1,0,0,1,0,3,1,6,200,0,0,6,16,0,1,1,6
"5517",2014,1,4,0,19,6,24.035177,91.127257,3,0,1,1,1,0,1,1,0,7,2,19,19,0,0,8,18,0,0,1,8
"5518",1974,9,11,0,185,8,41.400635,2.150913,1,0,1,1,1,0,0,1,0,3,7,46,185,0,0,6,16,14,285,1,4
"5519",2015,12,10,0,214,9,48.363186,37.891922,1,0,1,1,0,1,0,1,0,2,4,34,214,0,0,6,11,0,0,0,6
"5520",1991,9,24,0,604,11,-4.389166,15.33762,1,0,1,1,1,-9,0,1,0,9,1,8,217,0,0,13,23,0,0,1,8
